CODGEO;LIBGEO;REG;DEP;E14A17;DE14A17;C114A17;C214A17;C314A17;C414A17;C514A17;FZ14A17;GZ14A17;HZ14A17;IZ14A17;JZ14A17;KZ14A17;LZ14A17;MN14A17;OQ14A17;RU14A17;;
01092;Châtillon-la-Palud;82;01;64;1;1;0;0;0;3;8;12;3;5;3;2;1;11;8;6;;
01093;Châtillon-sur-Chalaronne;82;01;388;3;13;0;1;1;18;46;90;6;28;8;19;20;41;54;40;;
01094;Chavannes-sur-Reyssouze;82;01;28;0;1;0;0;0;2;3;7;2;3;1;0;0;2;0;7;;
01095;Chavannes-sur-Suran;82;01;33;0;1;0;0;0;3;5;5;1;3;1;1;2;2;4;5;;
01096;Chaveyriat;82;01;41;2;1;0;0;0;3;11;6;0;4;0;2;0;5;1;6;;
01097;Chavornay;82;01;7;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;1;;
01098;Chazey-Bons;82;01;65;2;1;0;1;0;12;12;15;2;5;0;5;1;5;2;2;;
01099;Chazey-sur-Ain;82;01;91;0;1;0;0;0;4;22;11;2;9;0;1;1;12;15;13;;
01100;Cheignieu-la-Balme;82;01;7;0;0;0;0;0;0;1;2;0;0;1;0;0;2;1;0;;
01101;Chevillard;82;01;5;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;;
01102;Chevroux;82;01;32;0;2;0;0;0;4;8;6;0;3;0;2;1;3;1;2;;
01103;Chevry;82;01;22;0;0;0;0;0;1;4;6;0;1;0;0;2;5;2;1;;
01104;Chézery-Forens;82;01;23;1;2;0;0;0;2;3;2;0;6;0;0;0;3;3;1;;
01105;Civrieux;82;01;103;3;1;0;0;0;9;20;15;4;3;2;6;5;23;9;3;;
01106;Cize;82;01;7;4;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;;
01107;Cleyzieu;82;01;3;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;;
01108;Coligny;82;01;76;0;2;0;1;0;6;12;18;1;4;1;3;0;5;17;6;;
01109;Collonges;82;01;75;0;1;0;0;0;2;13;13;2;6;3;2;2;7;14;10;;
01110;Colomieu;82;01;9;0;0;0;0;0;1;3;1;0;0;0;0;1;1;1;1;;
01111;Conand;82;01;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;;
01112;Condamine;82;01;20;0;0;0;0;0;2;3;6;1;0;1;0;1;2;1;3;;
01113;Condeissiat;82;01;35;0;1;0;0;0;0;7;8;1;2;1;0;2;4;3;6;;
01114;Confort;82;01;23;0;0;0;0;1;2;8;2;0;2;0;0;0;3;4;1;;
01115;Confrançon;82;01;56;0;2;0;1;0;6;11;10;2;7;0;0;2;10;2;3;;
01116;Contrevoz;82;01;19;0;1;0;0;0;2;5;3;0;3;0;0;0;3;2;0;;
01117;Conzieu;82;01;4;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;;
01118;Corbonod;82;01;52;1;3;0;0;0;5;15;4;1;3;0;1;1;7;6;5;;
01119;Corcelles;82;01;6;0;0;0;0;0;1;2;2;0;0;0;0;0;0;1;0;;
01121;Corlier;82;01;6;0;0;0;0;0;2;1;1;0;0;0;0;0;2;0;0;;
